name,PSNR,SSIM
"HE (custom)",27.79808613933188,0.7954125515414401
"HE (OpenCV)",27.74708257671252,0.7943199268744234
"CLAHE (40, 8x8)",27.863316829314172,0.3488243683537378
"CLAHE (60, 8x8)",27.893955105777994,0.3428841295234091
"FHH (beta=.4)",27.481215129785358,0.7209389603938204
"FHH (beta=.8)",27.23546918225272,0.9028225999087323
"Gamma Correction (.8)",28.834605658940436,0.9308829432852829
"Gamma Correction (1.2)",26.937455051125283,0.9769047646837149
